ticker,model_name,feature_set,split,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
AAPL,hist_gradient_boosting,price_only,test,128,14,0.546875,0.5339901477832512,0.618421052631579,0.5527093596059113
AAPL,hist_gradient_boosting,price_plus_alt,test,128,32,0.5078125,0.5056650246305419,0.5401459854014599,0.5088669950738915
AAPL,logreg,price_only,test,128,14,0.5078125,0.5115763546798029,0.5116279069767442,0.4970443349753695
AAPL,logreg,price_plus_alt,test,128,32,0.5,0.5088669950738917,0.47540983606557374,0.511576354679803
AAPL,mlp_small,price_only,test,128,14,0.5625,0.5320197044334976,0.6818181818181818,0.5448275862068965
AAPL,mlp_small,price_plus_alt,test,128,32,0.46875,0.45960591133004924,0.5342465753424658,0.5007389162561576
AAPL,random_forest,price_only,test,128,14,0.5078125,0.5056650246305419,0.5401459854014599,0.5381773399014778
AAPL,random_forest,price_plus_alt,test,128,32,0.4765625,0.48004926108374385,0.4806201550387597,0.5152709359605911
AAPL,svm_rbf,price_only,test,128,14,0.5078125,0.4672413793103448,0.6666666666666666,0.475
AAPL,svm_rbf,price_plus_alt,test,128,32,0.546875,0.5014778325123153,0.7040816326530612,0.47586206896551725
AAPL,hist_gradient_boosting,price_only,train,623,14,0.8828250401284109,0.8745626822157434,0.8998628257887518,0.9634943773427738
AAPL,hist_gradient_boosting,price_plus_alt,train,623,32,0.9646869983948636,0.9620262390670554,0.9685714285714285,0.9964598084131612
AAPL,logreg,price_only,train,623,14,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
AAPL,logreg,price_plus_alt,train,623,32,0.5666131621187801,0.5680393586005832,0.5846153846153846,0.6170553935860058
AAPL,mlp_small,price_only,train,623,14,0.6035313001605136,0.5743440233236152,0.7056019070321812,0.6099125364431488
AAPL,mlp_small,price_plus_alt,train,623,32,0.5280898876404494,0.5202623906705539,0.5823863636363636,0.527207413577676
AAPL,random_forest,price_only,train,623,14,0.8812199036918138,0.877368804664723,0.8945868945868946,0.9300291545189504
AAPL,random_forest,price_plus_alt,train,623,32,0.9614767255216693,0.9600947521865889,0.9653179190751445,0.9907642648896294
AAPL,svm_rbf,price_only,train,623,14,0.478330658105939,0.436698250728863,0.6416758544652701,0.2670658059142024
AAPL,svm_rbf,price_plus_alt,train,623,32,0.40930979133226325,0.3730320699708455,0.5770114942528736,0.1404414827155352
TSLA,hist_gradient_boosting,price_only,test,128,14,0.578125,0.5816752640628838,0.578125,0.5698845492507983
TSLA,hist_gradient_boosting,price_plus_alt,test,128,32,0.53125,0.5345124048145419,0.53125,0.5330385654630312
TSLA,logreg,price_only,test,128,14,0.6015625,0.6095553917956276,0.5785123966942148,0.6187668877425694
TSLA,logreg,price_plus_alt,test,128,32,0.484375,0.4848931466470155,0.5,0.5138786538933923
TSLA,mlp_small,price_only,test,128,14,0.640625,0.6396462785556374,0.6617647058823529,0.6502087939081307
TSLA,mlp_small,price_plus_alt,test,128,32,0.4765625,0.4801031687546058,0.47244094488188976,0.49545566199950875
TSLA,random_forest,price_only,test,128,14,0.6171875,0.6252763448784082,0.5950413223140496,0.6111520510930974
TSLA,random_forest,price_plus_alt,test,128,32,0.5859375,0.5876934414148858,0.5954198473282443,0.5661999508720216
TSLA,svm_rbf,price_only,test,128,14,0.53125,0.493981822647998,0.6907216494845361,0.6072218128224024
TSLA,svm_rbf,price_plus_alt,test,128,32,0.578125,0.562024072709408,0.6625,0.566322770817981
TSLA,hist_gradient_boosting,price_only,train,623,14,0.9069020866773676,0.9066194219223866,0.9102167182662538,0.9614202306533803
TSLA,hist_gradient_boosting,price_plus_alt,train,623,32,0.9662921348314607,0.9660157620020218,0.9675425038639877,0.9950279548596068
TSLA,logreg,price_only,train,623,14,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
TSLA,logreg,price_plus_alt,train,623,32,0.6035313001605136,0.6037011821501517,0.6085578446909667,0.6455509479895195
TSLA,mlp_small,price_only,train,623,14,0.6324237560192616,0.6308565946648511,0.656671664167916,0.6733510759010541
TSLA,mlp_small,price_plus_alt,train,623,32,0.5345104333868379,0.5357430216005447,0.5230263157894737,0.552010480493491
TSLA,random_forest,price_only,train,623,14,0.7945425361155698,0.795527222462916,0.7928802588996764,0.8851993975779332
TSLA,random_forest,price_plus_alt,train,623,32,0.8587479935794543,0.8588124858162612,0.8620689655172413,0.9456994904169502
TSLA,svm_rbf,price_only,train,623,14,0.5264847512038523,0.5121773844154236,0.6810810810810811,0.7361721441686782
TSLA,svm_rbf,price_plus_alt,train,623,32,0.7415730337078652,0.7364816075591591,0.7827260458839406,0.8628870871242598
